srcServer|srcShare|dstServer|dstShare|excludeDirs|excludeFiles
Gears|Data|CS-Streetwise|Gears||
Gears|Datas|CS-Streetwise|Gears||
Gears|User|CS-Streetwise|Gears||
Gears|ELD|CS-Streetwise|Gears||
Gears|EnglishStudentShare|CS-Streetwise|Gears||
Gears|ArtCurriculum|CS-Streetwise|Gears||
Gears|ForeignLanguage|CS-Streetwise|Gears||
Gears|IT1StudentShare|CS-Streetwise|Gears||
Inspire-Staff|User|CS-Streetwise|Inspire-Staff||
Inspire-Staff|Data|CS-Streetwise|Inspire-Staff||
Inspire-Staff|Support|CS-Streetwise|Inspire-Staff||
Inspire-Student|Datas|CS-Streetwise|Inspire-Student||
Inspire-Student|Users|CS-Streetwise|Inspire-Student||
Inspire-Student|BC1StudentShare|CS-Streetwise|Inspire-Student||
Inspire-Media|Yearbook|CS-Streetwise|Inspire-Media||
SEASPRAY|datas|CS-Streetwise|SEASPRAY||
SEASPRAY|user|CS-Streetwise|SEASPRAY||
SEASPRAY|d3studentshare|CS-Streetwise|SEASPRAY||
