06/08/2019 01:00:03 [SCRIPT] REWIND | veritas | Backup-Shares.3.0.ps1 \\mirage\Scripts\Servers\Backup\jobs\Primary-Site-Servers.01.csv -Full True -Test False
06/08/2019 01:00:03 [SCRIPT] REWIND | veritas | Backup-Shares.3.0.ps1 \\mirage\Scripts\Servers\Backup\jobs\High-Site-Servers.02.csv -Full True -Test False
06/08/2019 01:00:03 [INFO] Src:\\ch-pounce\Data | Dst:\\10.189.19.123\Utility\Full\ch-pounce\Data | Options:/E /M
06/08/2019 01:00:03 [INFO] Src:\\SEASPRAY\User | Dst:\\10.189.19.123\Utility\Full\SEASPRAY\User | Options:/E /M
06/08/2019 01:00:03 [INFO] Src:\\PIONEER\data | Dst:\\10.189.19.123\Utility\Full\PIONEER\data | Options:/E /M
06/08/2019 01:01:29 [INFO] Src:\\ch-pounce\Datas | Dst:\\10.189.19.123\Utility\Full\ch-pounce\Datas | Options:/E /M
06/08/2019 01:01:31 [INFO] Src:\\ci-bobcat\Data | Dst:\\10.189.19.123\Utility\Full\ci-bobcat\Data | Options:/E /M
06/08/2019 01:01:36 [INFO] Src:\\ci-bobcat\Datas | Dst:\\10.189.19.123\Utility\Full\ci-bobcat\Datas | Options:/E /M
06/08/2019 01:03:12 [INFO] Src:\\ho-hook\Data | Dst:\\10.189.19.123\Utility\Full\ho-hook\Data | Options:/E /M
06/08/2019 01:05:52 [INFO] Src:\\PIONEER\datas | Dst:\\10.189.19.123\Utility\Full\PIONEER\datas | Options:/E /M
06/08/2019 01:06:24 [INFO] Src:\\ho-hook\Datas | Dst:\\10.189.19.123\Utility\Full\ho-hook\Datas | Options:/E /M
06/08/2019 01:08:14 [INFO] Src:\\jm-wildrider\Data | Dst:\\10.189.19.123\Utility\Full\jm-wildrider\Data | Options:/E /M
06/08/2019 01:14:56 [INFO] Src:\\PIONEER\user | Dst:\\10.189.19.123\Utility\Full\PIONEER\user | Options:/E /M
06/08/2019 01:22:19 [INFO] Src:\\jm-wildrider\Datas | Dst:\\10.189.19.123\Utility\Full\jm-wildrider\Datas | Options:/E /M
06/08/2019 01:30:44 [INFO] Src:\\ma-skyfire\Data | Dst:\\10.189.19.123\Utility\Full\ma-skyfire\Data | Options:/E /M
06/08/2019 01:31:06 [INFO] Src:\\ma-skyfire\Datas | Dst:\\10.189.19.123\Utility\Full\ma-skyfire\Datas | Options:/E /M
06/08/2019 01:31:44 [INFO] Src:\\nd-snapdragon\Data | Dst:\\10.189.19.123\Utility\Full\nd-snapdragon\Data | Options:/E /M
06/08/2019 01:33:43 [INFO] Src:\\nd-snapdragon\Datas | Dst:\\10.189.19.123\Utility\Full\nd-snapdragon\Datas | Options:/E /M
06/08/2019 01:35:04 [INFO] Src:\\lc-cheetah\Data | Dst:\\10.189.19.123\Utility\Full\lc-cheetah\Data | Options:/E /M
06/08/2019 01:35:12 [INFO] Src:\\lc-cheetah\DataS | Dst:\\10.189.19.123\Utility\Full\lc-cheetah\DataS | Options:/E /M
06/08/2019 01:40:13 [INFO] Src:\\parkview-as\Data | Dst:\\10.189.19.123\Utility\Full\parkview-as\Data | Options:/E /M
06/08/2019 01:42:19 [INFO] Src:\\parkview-as\DataS | Dst:\\10.189.19.123\Utility\Full\parkview-as\DataS | Options:/E /M
06/08/2019 01:46:36 [INFO] Src:\\ew-ramhorn\Data | Dst:\\10.189.19.123\Utility\Full\ew-ramhorn\Data | Options:/E /M
06/08/2019 01:55:10 [INFO] Src:\\ew-ramhorn\DataS | Dst:\\10.189.19.123\Utility\Full\ew-ramhorn\DataS | Options:/E /M
06/08/2019 01:56:32 [INFO] Src:\\ro-raccoon\Data | Dst:\\10.189.19.123\Utility\Full\ro-raccoon\Data | Options:/E /M
06/08/2019 01:56:47 [INFO] Src:\\ro-raccoon\Datas | Dst:\\10.189.19.123\Utility\Full\ro-raccoon\Datas | Options:/E /M
06/08/2019 01:57:11 [INFO] Src:\\sh-searchlight\Data | Dst:\\10.189.19.123\Utility\Full\sh-searchlight\Data | Options:/E /M
06/08/2019 01:58:14 [INFO] Src:\\sh-searchlight\Datas | Dst:\\10.189.19.123\Utility\Full\sh-searchlight\Datas | Options:/E /M
